"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3362388200236","16.9850918104116","17.5907848401314","16.6229407539648","17.0522063173534","17.0588424717408","17.3218222159307","16.6488300421745","17.6099868114998","16.1041296629042","16.4989956125172","16.9897396540286","17.2203868729925","17.6433387887194","18.3348272163151","19.0943710739126","19.7935104556436","21.3650152783976","23.4866216421242","23.5721984485806","21.3824879382445","21.2798758889737","21.9235213087092","22.8167593205164","24.2537310874842","24.21821508036","23.4564034794069","23.9523572105343","20.99380993287","21.4286378935243","20.750793247453","19.2945917357869","",
"Afganistán","AFG","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","79.2343322677622","75.0573974418935","62.8573198370906","46.5915879152705","37.767088944173","39.3227752954657","34.947891876705","31.0648583463759","33.3945254309724","33.8910702411411","31.005086935181","28.0905398589804","24.9785362149994","30.6029372764231","27.3416561811956","27.6113499751759","28.8261035594371","29.7806223300066","28.5028636122522","27.2206313249956","25.4791086927034","24.2380272769118","24.6515361816094","23.4288708305927","23.0308151977368","23.834175430856","20.9064276362314","19.9819449006325","22.2627830581507","19.4048958966189","18.4306808216103","17.7552039156297","18.1205684185101","19.1543258448186","18.9518419605562","19.0641224314912","17.5817065106369","19.9884462186123","23.1533652235886","24.0158438450634","27.4487136333112","",
"Angola","AGO","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","28.1493243412777","30.4932189408191","30.326652990374","29.6747783948109","30.6077391870484","27.7922461605684","21.947654047901","25.1558475411653","29.2199737090593","42.7924877535729","28.2364976159008","26.3924075821007","26.6808374390079","26.1584970660107","27.4788126789017","28.2096040369337","26.2132136186057","23.2423146197252","17.1946986199565","16.2375557915782","19.5659217991466","20.2320489807258","",
"Albania","ALB","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","35.1454825483242","32.1448264037499","34.4923012277707","36.6919155125718","38.3472354348279","33.45274868539","32.0944339250987","33.5688783800913","32.6815097480848","32.4776201793981","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","21.2785134595821","21.7944514728181","20.1153855440596","21.4886916392966","23.5431069852162","31.9065919924022","36.7293171165447","36.0555222491949","35.893897051663","37.7956906742438","37.9198508262628","38.0702469821882","36.3847418200197","33.9492974767645","32.7089102886875","28.4284718608957","29.3662326698569","26.4886769391909","26.0795576173676","24.1586735516607","24.4134902778833","24.3679312234674","24.5765110647505","23.862606622591","22.3132984158928","22.7510501092048","24.1213018512043","",
"Andorra","AND","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","29.9856803780384","33.1548401938634","36.2782765401236","30.1877061985692","26.7086017801504","30.4749510069179","34.1691930467064","34.7852348775572","31.3707039956395","29.57564598916","30.6717704245044","27.2276409094894","25.5927502234294","26.7263017572994","21.1614409643316","23.819936207954","24.5762110265797","25.8030089994605","25.1751690883712","23.878431593165","22.5330786243545","21.8893998282315","23.2867621450154","21.3408794583852","19.088836115098","20.4468359435559","20.8966126829362","21.3659744373639","21.0957490829959","21.3343955687462","21.7664745341824","23.6050717700986","23.5580170961886","25.9839564245136","24.7162307691509","22.7216796236169","21.5148963724466","22.2131725673774","23.3114942392279","26.4682325354423","25.397655129478","24.3327050116158","20.824126614141","22.5875675208584","21.8090251137812","20.4825090992634","",
"Emiratos Árabes Unidos","ARE","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9781022476885","21.0714174063972","20.7914763654519","18.6841157151146","18.3791279785529","17.5782112065002","23.5730265192985","22.3738986039956","28.9130021991292","24.7604641069916","21.435792434882","20.2703249640649","17.7534303714182","19.060361107777","22.6115622928477","23.6443123845726","18.7381476139802","17.1282976717785","18.3694981530007","20.2055710089238","","",
"Argentina","ARG","Formación bruta de capital fijo (% del PIB)","NE.GDI.FTOT.ZS","23.4787682830017","27.7658954095825","21.7305032785137","18.2725157879141","17.1788998053412","19.223425192304","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8218932100794","23.9151408095888","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.0564340661161","19.9389752563704","17.9377461107015","18.0821812623381","19.37012354068","19.9349616865126","18.0140244001369","16.192649393261","14.1791183183273","11.9606480900889","15.1375075649857","15.8937872782322","17.3511468951153","18.3311867225446","19.5160791570053","19.0101609779701","15.581752639827","16.6414661565525","17.2482847013515","15.8575254186347","16.2895111851898","15.9799540764527","15.5647450770354","14.2723627542237","15.1621987548244","15.2510495001607","14.1990461422681","14.0161962083191","17.1312623911697","",
