"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"","
"Armenia,""ARM"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2607437730600"",""2302367555700"",""1339977854200"",""1222059819200"",""1288051083400"",""1376926587800"",""1457688850200"",""1506099858700"",""1616045148200"",""1669374638100"",""1767867741800"",""1937583045000"",""2193344006900"",""2500412167900"",""2762955445500"",""3147006252400"",""3562411077700"",""4050461395400"",""4329943231700"",""3719421236000"",""3801248503200"",""3979907182800"",""4266460500000"",""4407253696500"",""4565914829600"",""4712024104100"",""4721448152300"",""5075556763800"",""5339485715500"",""5745286629800"",""5331625992454.4"",""5635528674024.3"","""","
"Samoa Americana,""ASM"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""725000000"",""732000000"",""735000000"",""732000000"",""702000000"",""715000000"",""696000000"",""667000000"",""669000000"",""669000000"",""640000000"",""624000000"",""635000000"",""655000000"",""644000000"",""599000000"",""615000000"",""612000000"",""643000000"",""631000000"","""","
"Antigua y Barbuda,""ATG"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""779533555.87"",""813705406.47"",""879450731.11"",""951226493.92"",""987514987.21"",""986685353.51"",""1039611316.4"",""1145287761"",""1232831193.5"",""1374530697.4"",""1465612171.3"",""1542018533.4"",""1623009582.1"",""1671890000"",""1708280000"",""1728070000"",""1819310000"",""1940780000"",""1856170000"",""1978760000"",""2087030000"",""2185770000"",""2266810000"",""2407430000"",""2297940000"",""2321550000"",""2462620000"",""2604640000"",""2773260000"",""3125690000"",""3416860000"",""3416370000"",""3007680000"",""2771860000"",""2717570000"",""2809230000"",""2792350000"",""2898340000"",""3009210000"",""3174610000"",""3274430000"",""3499830000"",""3670000000"",""2928940000"",""3083320000"","""","
"Australia,""AUS"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""279781000000"",""286727000000"",""290439000000"",""308493000000"",""330026000000"",""349763000000"",""358084000000"",""380661000000"",""400052000000"",""428238000000"",""458968000000"",""477331000000"",""495996000000"",""508988000000"",""529892000000"",""536973000000"",""550874000000"",""570677000000"",""575774000000"",""599093000000"",""617279000000"",""637893000000"",""659102000000"",""644440000000"",""674031000000"",""709608000000"",""737753000000"",""756634000000"",""800196000000"",""831207000000"",""860935000000"",""857637000000"",""861313000000"",""896174000000"",""931850000000"",""968072000000"",""1005409000000"",""1044749000000"",""1092947000000"",""1147117000000"",""1191868000000"",""1216199000000"",""1264769000000"",""1304121000000"",""1359111000000"",""1401974000000"",""1440397000000"",""1494814000000"",""1548153000000"",""1577111000000"",""1611911000000"",""1650458000000"",""1714859000000"",""1759081000000"",""1804448000000"",""1843293000000"",""1893625000000"",""1936841000000"",""1992681000000"",""2035950000000"",""2034914000000"",""2080419000000"","""","
"Austria,""AUT"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""76547968557.5349"",""80787179223.7164"",""82926969134.2714"",""86358709014.3338"",""91647621837.6208"",""94837119385.7531"",""100188646598.812"",""103202368976.428"",""107817901715.963"",""114584410008.901"",""121827454000"",""128058890000"",""136008608000"",""142660021000"",""148283876000"",""147744515000"",""154508917000"",""162357940000"",""162015927000"",""170694634000"",""173650187000"",""173399619000"",""176887127000"",""182146137000"",""182239532000"",""186793112000"",""191091956000"",""193685395000"",""200069033000"",""207845866000"",""216878102000"",""224342239000"",""229038899000"",""230245497000"",""235776268000"",""242066740000"",""247754180000"",""252941160000"",""262000060000"",""271317650000"",""280476580000"",""284030690000"",""288721610000"",""291439840000"",""299411070000"",""306130050000"",""316703910000"",""328508780000"",""333306400000"",""320758820000"",""326651460000"",""336198820000"",""338486470000"",""338572800000"",""340811690000"",""344269230000"",""351118250000"",""359048510000"",""367756820000"",""373337120000"",""349242060000"",""365156500000"","""","
"Azerbaiyán,""AZE"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""11475838691"",""11395507800"",""8820123000"",""6782674700"",""5446487700"",""4803802200"",""4866251600"",""5148494200"",""5663343600"",""6082431100"",""6757580900"",""7426581400"",""8127570200"",""8957256900"",""9786143700"",""12522500000"",""16842762500"",""21053453100"",""23318589500"",""25486370400"",""26773163100"",""26799936300"",""27380219100"",""28970955300"",""29767803400"",""30093456000"",""29160558900"",""29218880000"",""29657163200"",""30398592300"",""29091452800"",""30720585000"","""","
"Burundi,""BDI"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""443030508800"",""382130936730"",""416764067040"",""433998959200"",""461223878400"",""479521670220"",""501641970800"",""570976509110"",""569275663310"",""560966850790"",""680596794310"",""699291622470"",""654509232250"",""699598705220"",""694513745050"",""699360897020"",""754908762070"",""841492668060"",""833577790080"",""847456484760"",""855855250770"",""959955283400"",""949841196260"",""985130902600"",""986663214660"",""1102923519000"",""1138770523700"",""1201438160200"",""1261882806800"",""1278911943500"",""1323671586800"",""1389813291100"",""1403850382700"",""1316250118800"",""1265837739300"",""1165583390300"",""1072336719100"",""1055286565300"",""1105412677100"",""1094248009100"",""1084871791200"",""1107174662600"",""1156405398900"",""1142254142700"",""1197466798800"",""1208244000000"",""1273656000000"",""1317621950000"",""1381680992000"",""1434360970000"",""1507859921000"",""1568665880000"",""1638419845000"",""1719098749500"",""1791999714300"",""1722111724000"",""1711779038000"",""1720337954800"",""1748034284900"",""1779718548186.91"",""1785541020062.4"",""1817596837995.58"","""","
"Bélgica,""BEL"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""96808106841.284"",""101627623959.31"",""106924459286.442"",""111577367250.012"",""119339452923.469"",""123588724896.824"",""127489055263.832"",""132420519262.653"",""137974407490.557"",""147121834475.925"",""155335438000"",""161526840000"",""170080663000"",""180934704000"",""189194840000"",""185475380000"",""195959832000"",""197186844000"",""202790690000"",""207538168000"",""216761276000"",""216155898000"",""217441997000"",""218120074000"",""223499750000"",""227191503000"",""231332663000"",""236668720000"",""247847078000"",""256445307000"",""264491028000"",""269339345000"",""273462001000"",""270831643000"",""279571303000"",""286238400000"",""290020900000"",""301023300000"",""306928800000"",""317802500000"",""329614200000"",""333238700000"",""338926700000"",""342444700000"",""354674100000"",""362908700000"",""372171400000"",""385855700000"",""387580200000"",""379748200000"",""390625300000"",""397244500000"",""400181000000"",""402018800000"",""408364800000"",""416701400000"",""421979700000"",""428814000000"",""436502400000"",""446283800000"",""422356800000"",""448263600000"","""","
"Benin,""BEN"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""976161831950"",""1006825812800"",""972327834270"",""1018319212800"",""1086045170800"",""1143538912400"",""1184430294200"",""1197203174700"",""1243203738900"",""1278976901300"",""1305806736200"",""1286260874800"",""1368920726200"",""1419655191400"",""1467061909800"",""1395244161400"",""1407583091500"",""1477732299500"",""1496278992900"",""1594072008500"",""1702178208000"",""1871616961700"",""1913448842500"",""1830255478700"",""1975391801800"",""2124145221300"",""2170263421800"",""2137709406400"",""2210503655400"",""2147412333300"",""2340166949600"",""2439057711000"",""2511197985000"",""2657755820800"",""2711453131300"",""2875365859400"",""2999704846100"",""3171728571200"",""3297361124900"",""3473488000000"",""3676955000000"",""3873052000000"",""4052879000000"",""4192443000000"",""4378155000000"",""4453160000000"",""4628781000000"",""4905876000000"",""5146096000000"",""5265449000000"",""5376764000000"",""5536118000000"",""5802473000000"",""6219754000000"",""6615186000000"",""6732814000000"",""6957668000000"",""7352276000000"",""7844677000000"",""8383267995300"",""8705900000000"",""9328870657100"","""","
"Burkina Faso,""BFA"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""689815632100"",""717711279440"",""761698359580"",""752039899670"",""769207611070"",""798164780660"",""802455818950"",""873259023390"",""900074833890"",""918311079450"",""919385683500"",""932379728030"",""953931673710"",""958217950140"",""1037619976100"",""1068731796000"",""1159946932200"",""1164242837000"",""1217889109500"",""1262520135800"",""1272580892100"",""1326733070000"",""1453597894800"",""1458627121700"",""1432682569400"",""1554709373000"",""1678392143000"",""1674425484900"",""1771468370500"",""1809559675100"",""1798649324500"",""1961786538700"",""1966351827100"",""2034414833100"",""2061167536100"",""2178991578400"",""2419001919700"",""2571806273200"",""2759746665200"",""2963836493800"",""3019807772100"",""3219519912800"",""3359664450100"",""3621802063500"",""3784002735400"",""4111768255300"",""4368883895900"",""4548505271700"",""4812318201800"",""4954856702100"",""5373357850900"",""5729211839000"",""6098899108900"",""6452183014400"",""6731359012200"",""6995311000000"",""7412090000000"",""7871898218300"",""8391803173100"",""8869138600700"",""9040341790600"",""9664698683100"","""","
